Timestamp,CPRP07-DCS-F101ACTGRS,CPWJ43-DCS-43_07PIZA009HH_LSAI2_OUT,CPWJ43-DCS-43_07EI017,CPWJ43-DCS-43_07EI019,CPRP07-DCS-F720_AVE_DRV,CPWJ43-DCS-43_07EI020,CPWJ43-DCS-43_07PIZA009HH_LSAI3_OUT,CPWJ43-DCS-07EIA019,CPRP07-DCS-F101ACTGRS.FILT,CPDP07-DCS-12PI006,CPWJ43-DCS-43_07PIZA009HH_LSAI1_OUT,CPDP33-DCS-07FICA001_DP,CPRP07-DCS-F720_MAS_TOT,CPRP07-LICA721I,CPWJ43-DCS-07PI006,CPEP07-DCS-74PDIA110_OUT,CPRP07-LICA721,CPCA07-QIA3300,CPWA07-DCS-69LIZA701LL,CPCB07-DCS-81PISA002,CPRP07-DCS-F720_AVE_GRS,CPWJ43-DCS-07EIA020,CPWA07-DCS-69LISA601,CPCB07-DCS-40FIQ724.FILT,CPRP07-PT040,CPGP07-PICA1130I,CPDP07-DCS-QIA151,CPWJ43-DCS-43_01EI007,CPPP07-DCS-PZI800-Conv,CPRP07-DCS-F101AVEDRV,CPWJ43-DCS-43_07HIC010_O,CPWA07-DCS-115PICA101I,CPRP07-DCS-40FIA102,CPDP07-CPL-CP122S_Gas,CPDP07-CPL-CP122S_Oil,CPDP07-CPL-CP122S_Gross,CPCA07-LICA2300I,CPCA07-DCS-TIA3130H,CPDP33-DCS-33_07FICA001,CPWJ43-DCS-43_07EI001,CPDP07-CPL-CP056_Gas,CPCA07-DCS-QRA3300,CPEP07-PDIA1001,CPCA07-DCS-PDT3747,CPDP07-DCS-18PIA011HPV,CPRP07-DCS-PT040,CPRP07-DCS-F720_AVE_DEN,CPCA07-DCS-PDIA3101,CPCA07-LIA051,CPWJ43-DCS-07PI011,CPRP07-DCS-40LICA104A_OUT
2019-09-17 14:10:00,536.3570556640625,907.2091674804688,65.0,19.652097702026367,43.6141357421875,23.424036026000977,911.9423217773438,19.653162002563477,444.9190368652344,80.37238311767578,909.7530517578125,-0.23027397692203522,1019999.0,23.968135833740234,914.2771606445312,0.43519023060798645,5.389955997467041,-0.10238027572631836,37.468994140625,-37.6171875,1179.101806640625,23.438669204711914,77.38008880615234,Bad Input,12.487272262573242,1180.784423828125,13.870409965515137,22.313167572021484,0.927960991859436,71.18621826171875,4000.0,1.6911109685897827,3.1231093406677246,14.730369567871094,40.810001373291016,40.810001373291016,26.008174896240234,-29.85423469543457,-199.7365264892578,218.10862731933594,10.371942520141602,-0.37386804819107056,-24.969482421875,-24.877925872802734,0.0,12.495284080505371,867.1741943359375,-24.877925872802734,33.71842956542969,939.0612182617188,5.1444854736328125
2019-09-17 14:20:00,451.9864807128906,895.8588256835938,65.0,19.652034759521484,43.61411666870117,23.42436981201172,900.5778198242188,19.653099060058594,397.1800842285156,80.57601928710938,898.1301879882812,-0.23020437359809875,1019999.0,35.07539367675781,901.94482421875,0.4334665834903717,100.0,-0.31008291244506836,37.47018051147461,-37.6171875,1179.1070556640625,23.438350677490234,77.38108825683594,Bad Input,12.486987113952637,1194.921875,14.326338768005371,22.28812599182129,0.927960991859436,71.18637084960938,4000.0,1.6921448707580566,3.1215004920959473,14.730369567871094,40.810001373291016,40.810001373291016,26.05855369567871,-29.853559494018555,-196.168212890625,218.12954711914062,10.371942520141602,-0.4456828534603119,-24.969482421875,-24.877925872802734,0.0,12.49609375,867.17431640625,-24.877925872802734,46.5582275390625,927.388427734375,0.0
2019-09-17 14:30:00,55.8773307800293,908.4288940429688,65.0,19.6519718170166,43.61410140991211,23.424705505371094,913.1622314453125,19.65303611755371,367.39581298828125,80.77965545654297,911.4800415039062,-0.2301347702741623,1019999.0,26.505502700805664,915.595703125,0.43174293637275696,27.055017471313477,-0.3935497999191284,37.47136306762695,-37.6171875,1179.1136474609375,23.438032150268555,77.38208770751953,Bad Input,12.486701965332031,1175.5260009765625,13.345884323120117,22.263084411621094,0.9523809552192688,71.18653106689453,4000.0,1.6919602155685425,3.0779175758361816,14.730369567871094,40.810001373291016,40.810001373291016,26.05791473388672,-29.854328155517578,-198.52178955078125,218.15048217773438,10.371942520141602,-0.5174976587295532,-24.969482421875,-24.877925872802734,0.0,12.49609375,867.1748657226562,-24.877925872802734,32.18989944458008,938.2940063476562,0.0
2019-09-17 14:40:00,53.07807159423828,899.8514404296875,65.0,19.65190887451172,43.61408233642578,23.425039291381836,904.49951171875,19.65297508239746,428.90167236328125,80.95556640625,902.331787109375,-0.23006516695022583,1019999.0,25.36810302734375,907.1380615234375,0.4300192892551422,15.681020736694336,-0.47701671719551086,37.4725456237793,-37.630950927734375,1179.1243896484375,23.437713623046875,77.38308715820312,Bad Input,12.486416816711426,1207.6171875,13.977861404418945,22.23804473876953,0.9523809552192688,71.18668365478516,4000.0,1.6917756795883179,3.135749101638794,14.730369567871094,40.810001373291016,40.810001373291016,26.057273864746094,-29.855098724365234,-196.52684020996094,218.17141723632812,10.371942520141602,-0.5893124938011169,-24.969482421875,-24.877925872802734,0.0,12.49609375,867.1753540039062,-24.877925872802734,26.771028518676758,929.3491821289062,0.21727944910526276
2019-09-17 14:50:00,537.6072387695312,907.49365234375,65.0,19.65184783935547,43.61406707763672,23.42537498474121,912.1019897460938,19.652912139892578,358.154296875,81.03589630126953,910.3248901367188,-0.22999556362628937,1019999.0,25.996416091918945,914.8621215820312,0.42829564213752747,21.964157104492188,-0.5604836344718933,37.473731994628906,-37.6171875,1179.1268310546875,23.437395095825195,77.38408660888672,1830.4730224609375,12.48613166809082,1196.875,13.619569778442383,22.213003158569336,0.9523809552192688,71.18683624267578,4000.0,1.6915911436080933,3.131415605545044,14.730369567871094,40.810001373291016,40.810001373291016,26.05649757385254,-29.85586929321289,-198.10406494140625,218.19235229492188,10.371942520141602,-0.6611272692680359,-24.969482421875,-24.877925872802734,0.0,12.49609375,867.1758422851562,-24.877925872802734,38.359588623046875,939.3762817382812,2.8515853881835938
2019-09-17 15:00:00,450.762939453125,897.7213134765625,65.0,19.651784896850586,43.61404800415039,23.425710678100586,901.5582885742188,19.652849197387695,365.1833801269531,81.1162338256836,900.3436889648438,-0.2299259603023529,1019999.0,23.739530563354492,903.7587280273438,0.4265720248222351,2.0,-0.6439505219459534,37.47491455078125,-37.6171875,1179.1268310546875,23.437076568603516,77.38508605957031,1854.5797119140625,12.485846519470215,1203.6151123046875,14.3938627243042,22.18796157836914,0.9035409688949585,71.1869888305664,4000.0,1.691406488418579,3.1451640129089355,14.730369567871094,40.810001373291016,40.810001373291016,26.05860137939453,-29.856637954711914,-198.6464080810547,218.21328735351562,10.371942520141602,-0.7329421043395996,-24.969482421875,-24.877925872802734,0.0,12.49609375,867.1763305664062,-24.877925872802734,40.281761169433594,928.7415771484375,0.0
2019-09-17 15:10:00,612.9691162109375,899.24072265625,65.0,19.651721954345703,43.61402893066406,23.426044464111328,902.9080200195312,19.652786254882812,381.1345520019531,81.19657135009766,901.8157348632812,-0.22985635697841644,1019999.0,24.442691802978516,906.2372436523438,0.42484837770462036,6.555704593658447,-0.7274174094200134,37.47610092163086,-37.714378356933594,1179.1241455078125,23.436758041381836,77.3860855102539,1876.8349609375,12.48556137084961,1208.0078125,13.243613243103027,22.162919998168945,0.8791208863258362,71.18714141845703,4000.0,1.6912219524383545,3.082763910293579,14.730369567871094,40.810001373291016,40.810001373291016,26.059547424316406,-29.85740852355957,-200.83468627929688,218.23422241210938,10.371942520141602,-0.8047569394111633,-24.969482421875,-24.877925872802734,0.0,12.49609375,867.1768188476562,-24.877925872802734,24.1015625,929.5513916015625,5.99305534362793
2019-09-17 15:20:00,449.8660888671875,897.657958984375,65.0,19.65165901184082,43.614013671875,23.426380157470703,902.2432861328125,19.65272331237793,459.3402404785156,81.27690124511719,900.05419921875,-0.22978675365447998,1019999.0,25.196115493774414,902.781982421875,0.4231247305870056,13.961155891418457,-0.8108842968940735,37.4772834777832,-37.734375,1179.127685546875,23.436439514160156,77.38709259033203,Bad Input,12.485276222229004,1197.197509765625,14.306121826171875,22.13787841796875,0.8791208863258362,71.18730163574219,4000.0,1.6910374164581299,3.1507489681243896,14.730369567871094,40.810001373291016,40.810001373291016,26.06049156188965,-29.858177185058594,-199.46063232421875,218.25515747070312,10.371942520141602,-0.8765717148780823,-24.969482421875,-24.877925872802734,0.0,12.49609375,867.1769409179688,-24.877925872802734,24.675642013549805,927.7290649414062,0.0
2019-09-17 15:30:00,223.50511169433594,903.8485107421875,65.0,19.651596069335938,43.61399459838867,23.426713943481445,908.2085571289062,19.652660369873047,545.2600708007812,81.35723876953125,907.6718139648438,-0.22971715033054352,1019999.0,24.36076545715332,910.083984375,0.42140108346939087,5.612637996673584,-0.8943511843681335,37.47846603393555,-37.6171875,1179.1282958984375,23.436120986938477,77.38809204101562,Bad Input,12.484991073608398,1171.6796875,13.54568099975586,22.112836837768555,0.8791208863258362,71.18745422363281,4000.0,1.6908527612686157,3.115830183029175,14.730369567871094,40.810001373291016,40.810001373291016,26.049150466918945,-29.85894775390625,-203.75296020507812,218.27609252929688,10.371942520141602,-0.948386549949646,-24.969482421875,-24.877925872802734,0.0,12.49609375,867.1769409179688,-24.877925872802734,37.1953125,932.8240966796875,0.0010874121217057109
2019-09-17 15:40:00,162.09034729003906,899.0883178710938,65.0,19.651535034179688,43.61397933959961,23.42704963684082,903.5947265625,19.652599334716797,414.1275634765625,81.47930145263672,901.8300170898438,-0.22964754700660706,1019999.0,24.635478973388672,906.6318359375,0.4196774363517761,8.353870391845703,-0.9549451470375061,37.479652404785156,-37.657936096191406,1179.1265869140625,23.435802459716797,77.38909149169922,Bad Input,12.484705924987793,1217.4046630859375,14.73552417755127,22.110509872436523,0.8791208863258362,71.18760681152344,4000.0,1.6906682252883911,3.1175317764282227,14.730369567871094,40.810001373291016,40.810001373291016,26.057861328125,-29.859718322753906,-199.15176391601562,218.29702758789062,10.371942520141602,-1.020201325416565,-24.969482421875,-24.877925872802734,0.0,12.49609375,867.1769409179688,-24.877925872802734,41.6381950378418,928.4867553710938,0.605250895023346
